Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AL","3490","404","AL 3490: 404","54%","27%","8%","4%","4%","0%","0%","4%","Connor, Clyde Keith",""
"AL","3490","405","AL 3490: 405","80%","12%","0%","4%","4%","0%","0%","0%","Fry, Edmond H",""
"AL","3500","400","AL 3500: 400","19%","31%","23%","12%","8%","0%","0%","8%","Godfrey, Michael G",""
"AL","3500","401","AL 3500: 401","14%","55%","5%","9%","9%","0%","0%","9%","Godfrey, Michael G",""
"AL","3520","400","AL 3520: 400","22%","22%","35%","4%","0%","0%","0%","17%","Godfrey, Michael G",""
"AL","3530","400","AL 3530: 400","12%","23%","27%","27%","8%","0%","0%","4%","Colbert, Isaac Sean",""
"AL","3530","401","AL 3530: 401","13%","17%","39%","22%","4%","0%","0%","4%","Colbert, Isaac Sean",""
"AL","3600","400","AL 3600: 400","46%","43%","7%","0%","0%","0%","0%","4%","Connor, Clyde Keith",""
"AL","3610","400","AL 3610: 400","92%","8%","0%","0%","0%","0%","0%","0%","Oates, Henry C.",""
"AL","3610","401","AL 3610: 401","84%","12%","4%","0%","0%","0%","0%","0%","Oates, Henry C.",""
"AL","3610","402","AL 3610: 402","88%","4%","4%","4%","0%","0%","0%","0%","Oates, Henry C.",""
"AL","3620","400","AL 3620: 400","8%","44%","20%","16%","4%","0%","0%","8%","Carter, Natalie Anne",""
"AL","3620","401","AL 3620: 401","23%","23%","37%","9%","3%","0%","0%","6%","Carter, Natalie Anne",""
"AL","3710","400","AL 3710: 400","60%","25%","5%","0%","5%","0%","0%","5%","Hickey, Justin M",""
"AL","3720","400","AL 3720: 400","61%","13%","4%","4%","13%","0%","0%","4%","Fry, Edmond H",""
"AL","3740","400","AL 3740: 400","46%","21%","29%","0%","0%","0%","0%","4%","Cadorette, Deborah J",""
"AL","3750","400","AL 3750: 400","74%","11%","5%","0%","5%","0%","0%","5%","Cadorette, Deborah J",""
"AL","3760","400","AL 3760: 400","38%","14%","19%","10%","19%","0%","0%","0%","Fry, Edmond H",""
"AL","3760","401","AL 3760: 401","63%","11%","5%","11%","5%","0%","0%","5%","Fry, Edmond H",""
"ANTH","2010","1","Intro Anthropology","6%","21%","41%","11%","12%","0%","0%","9%","Coggeshall, John M",""
"ANTH","2010","2","Intro Anthropology","24%","32%","24%","11%","5%","0%","0%","5%","Vogel, Melissa A",""
"ANTH","2010","3","Intro Anthropology","36%","32%","19%","7%","3%","0%","0%","3%","Rapaport, Lisa G",""
"ANTH","3200","1","North American Indian Cultures","18%","35%","24%","0%","0%","0%","0%","24%","Coggeshall, John M",""
"ANTH","3310","1","Archaeology","29%","50%","4%","4%","4%","0%","0%","8%","Vogel, Melissa A",""
"ANTH","3510","1","Biological Anthropology","62%","31%","0%","8%","0%","0%","0%","0%","Weisensee, Katherine",""
"ANTH","4510","1","Biol Variation in Human Pop","33%","33%","25%","0%","0%","0%","0%","8%","Weisensee, Katherine",""
"APEC","2020","1","Agric Economics","38%","28%","23%","0%","7%","0%","0%","5%","Smathers, Webb M",""
"APEC","2050","1","Agric and Society","60%","38%","0%","0%","0%","0%","0%","2%","Hughes, David Wheele",""
"APEC","3080","1","APEC 3080: 001","33%","11%","30%","19%","4%","0%","0%","4%","Vassalos, Michael",""
"APEC","3570","1","Nat Resource Econ","10%","36%","51%","0%","0%","0%","0%","3%","Espey, Molly",""
"APEC","4120","1","Reg Economic Devel","60%","30%","0%","0%","0%","0%","0%","10%","Hughes, David Wheele",""
"APEC","4520","1","Agric Policy","25%","55%","20%","0%","0%","0%","0%","0%","Vassalos, Michael",""
"APEC","4750","1","Wildlife Economics","57%","10%","33%","0%","0%","0%","0%","0%","Smathers, Webb M",""
"ARAB","1010","1","ARAB 1010: 001","64%","14%","0%","7%","0%","0%","0%","14%","Abou-Samra, Sulafa",""
"ARAB","1020","1","ARAB 1020: 001","55%","9%","9%","9%","0%","0%","0%","18%","Abou-Samra, Sulafa",""
"ARCH","1510","3","ARCH 1510: 003","38%","33%","17%","4%","0%","0%","0%","8%","Hambright-Belue, Sal",""
"ARCH","1510","4","ARCH 1510: 004","23%","64%","9%","0%","0%","0%","0%","5%","Hambright-Belue, Sal",""
"ARCH","2520","1","ARCH 2520: 001","18%","71%","12%","0%","0%","0%","0%","0%","Bruhns, Robert A.",""
"ARCH","2520","3","ARCH 2520: 003","33%","33%","17%","0%","8%","0%","0%","8%","Mills, Criss B.",""
"ARCH","2520","4","ARCH 2520: 004","17%","75%","8%","0%","0%","0%","0%","0%","Mendez, Clarissa A",""
"ARCH","2700","1","ARCH 2700: 001","71%","19%","5%","0%","0%","0%","0%","5%","Hogan, Robert John",""
"ARCH","2700","2","ARCH 2700: 002","92%","4%","4%","0%","0%","0%","0%","0%","Hogan, Robert John",""
"ARCH","2710","1","ARCH 2710: 001","76%","24%","0%","0%","0%","0%","0%","0%","Kleiss, Michael Carl",""
"ARCH","4050","1","ARCH 4050: 001","36%","50%","7%","0%","7%","0%","0%","0%","Bruhns, Robert A.",""
"ARCH","4520","2","ARCH 4520: 002","60%","30%","10%","0%","0%","0%","0%","0%","Craig, Lynn G",""
"ARCH","4520","3","ARCH 4520: 003","57%","36%","0%","7%","0%","0%","0%","0%","Wilkerson, Julie Poe",""
"ARCH","4990","1","Freehand Drawing","73%","27%","0%","0%","0%","0%","0%","0%","Craig, Lynn G",""
"ARCH","6050","1","ARCH 6050: 001","67%","33%","0%","0%","0%","0%","0%","0%","Bruhns, Robert A.",""
"ARCH","8110","1","ARCH 8110: 001","53%","42%","0%","0%","0%","0%","0%","5%","Hecker, Douglas A.",""
"ARCH","8120","1","ARCH 8120: 001","21%","64%","14%","0%","0%","0%","0%","0%","Lee, David M",""
"ARCH","8200","1","Bldg Design & Constr","40%","60%","0%","0%","0%","0%","0%","0%","Bausman, Dennis C",""
"ARCH","8420","1","ARCH 8420: 001","80%","10%","0%","0%","0%","0%","0%","10%","Montilla Navarro, Ar",""
"ARCH","8420","2","ARCH 8420: 002","80%","20%","0%","0%","0%","0%","0%","0%","Satoh, Junichi",""
"ARCH","8520","2","ARCH 8520: 002","63%","38%","0%","0%","0%","0%","0%","0%","Green, Keith E.",""
"ARCH","8520","5","ARCH 8520: 005","40%","60%","0%","0%","0%","0%","0%","0%","Ault, Nicholas W",""
