Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,2510,4,Arch Foundations I,62%,23%,8%,0%,8%,0%,0%,0%,"Barker, James F",
ARCH,2510,5,Arch Foundations I,23%,69%,8%,0%,0%,0%,0%,0%,"Silance, Robert T",
ARCH,2700,1,Structures I,36%,41%,18%,0%,5%,0%,0%,0%,"Albright, Dustin Gra",
ARCH,3500,1,Intro to Urban Contexts,8%,62%,31%,0%,0%,0%,0%,0%,"Brown, Timothy Burl",
ARCH,3500,2,Intro to Urban Contexts,33%,33%,25%,0%,8%,0%,0%,0%,"Wilkerson, Julie Poe",
ARCH,3500,3,Intro to Urban Contexts,0%,17%,83%,0%,0%,0%,0%,0%,"Schafer, George J",
ARCH,3500,4,Intro to Urban Contexts,17%,42%,42%,0%,0%,0%,0%,0%,"Terim, Berrin",
ARCH,4010,1,Architectural Portfolio SENIOR,67%,19%,5%,0%,5%,0%,0%,5%,"Mendez, Clarissa A",
ARCH,4010,2,Architectural Portfolio JUNIOR,33%,62%,5%,0%,0%,0%,0%,0%,"Schafer, George J",
ARCH,4010,3,Architectural Portfolio JUNIOR,42%,50%,4%,0%,4%,0%,0%,0%,"Hamidpour, Maryam",
ARCH,6120,2,History Research,67%,33%,0%,0%,0%,0%,0%,0%,"Heine, Ulrike Ann-So",
ARCH,6990,9,Freehand Drawing,83%,17%,0%,0%,0%,0%,0%,0%,"Craig, Lynn G",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 6 of 112,
Grades Report for 201608,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ARCH,8100,1,Visualization I,73%,20%,7%,0%,0%,0%,0%,0%,"Choma, Joseph",
ARCH,8210,1,Research Methods,60%,40%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G.",
ARCH,8410,1,Arch Studio I,56%,33%,11%,0%,0%,0%,0%,0%,"Laurence, Peter L",
ARCH,8410,2,Arch Studio I,67%,33%,0%,0%,0%,0%,0%,0%,"Mihalache, Andreea M",
ARCH,8510,1,Design Studio III,56%,44%,0%,0%,0%,0%,0%,0%,"Heine, Ulrike Ann-So",
ARCH,8510,2,Design Studio III,50%,50%,0%,0%,0%,0%,0%,0%,"Houayek, Henrique M",
ARCH,8510,3,Design Studio III,38%,63%,0%,0%,0%,0%,0%,0%,"Ersoy, Ufuk",
ARCH,8600,1,History/Theory I,38%,63%,0%,0%,0%,0%,0%,0%,"Terim, Berrin",
ARCH,8810,1,Pro Practice Survey,64%,36%,0%,0%,0%,0%,0%,0%,"Schwennsen, Katherin",
ARCH,8950,2,A+H Studio: Projects,33%,67%,0%,0%,0%,0%,0%,0%,"Edwards, Byron Malet",
ART,1050,1,Foundation Drawing I,29%,57%,0%,7%,7%,0%,0%,0%,"Thum, Kathleen Ann",
ART,1510,1,Foundations Art I,75%,25%,0%,0%,0%,0%,0%,0%,"Day, Kymberly Ann",
ART,2070,1,Beginning Painting,69%,25%,0%,0%,0%,0%,0%,6%,"McDonald, Todd A",
ART,2100,400,Art Appreciation,61%,29%,4%,7%,0%,0%,0%,0%,"Dorsey, Lydia Jane",
ART,2100,401,Art Appreciation,41%,30%,19%,7%,4%,0%,0%,0%,"Dorsey, Lydia Jane",
ART,2100,402,Art Appreciation,48%,45%,7%,0%,0%,0%,0%,0%,"Dorsey, Lydia Jane",
ART,2100,403,Art Appreciation,37%,41%,11%,4%,7%,0%,0%,0%,"Dorsey, Lydia Jane",
AS,1090,1,Air Force Today I,75%,25%,0%,0%,0%,0%,0%,0%,"Mann, Christopher R",
AS,1090,3,Air Force Today I,81%,13%,0%,0%,0%,0%,0%,6%,"Mann, Christopher R",
AS,2090,2,Dev of Air Power I,60%,27%,7%,7%,0%,0%,0%,0%,"Mann, Christopher R",
AS,2090,3,Dev of Air Power I,69%,19%,6%,0%,0%,0%,0%,6%,"Mann, Christopher R",
ASL,1010,1,Am Sign Lang I,17%,39%,28%,6%,11%,0%,0%,0%,"Brant, William Alton",
ASL,1010,2,Am Sign Lang I,47%,53%,0%,0%,0%,0%,0%,0%,"Brant, William Alton",
ASL,1010,3,Am Sign Lang I,28%,39%,11%,11%,0%,0%,0%,11%,"Barrett, Michael Alb",
ASL,1010,4,Am Sign Lang I,47%,42%,11%,0%,0%,0%,0%,0%,"Barrett, Michael Alb",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 7 of 112,
Grades Report for 201608,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ASL,1020,1,Am Sign Lang I,71%,18%,12%,0%,0%,0%,0%,0%,"Misener Dunn, Kim Ma",
ASL,2010,1,Am Sign Lang II,28%,39%,22%,11%,0%,0%,0%,0%,"Barrett, Michael Alb",
ASL,2010,2,Am Sign Lang II,13%,19%,38%,31%,0%,0%,0%,0%,"Barrett, Michael Alb",
ASL,3010,1,Advanced A S L I,80%,13%,7%,0%,0%,0%,0%,0%,"Misener Dunn, Kim Ma",
ASL,3150,1,Survey Interpreting,25%,42%,17%,0%,0%,0%,0%,17%,"Fitzmaurice, Stephen",
ASTR,1010,1,Solar System Astronomy,19%,39%,17%,12%,8%,0%,0%,5%,"The, Lih-sin",
ASTR,1010,2,Solar System Astronomy,28%,36%,19%,4%,6%,0%,0%,7%,"The, Lih-sin",
ASTR,1020,1,Stellar Astronomy,39%,32%,11%,6%,2%,0%,0%,10%,"Porter, Amber L",
ASTR,1030,1,Solar Systm Astr Lab,54%,27%,15%,0%,4%,0%,0%,0%,"Porter, Amber L",
ASTR,1030,2,Solar Systm Astr Lab,38%,31%,4%,8%,8%,0%,0%,12%,"Porter, Amber L",
ASTR,1030,4,Solar Systm Astr Lab,60%,24%,0%,8%,0%,0%,0%,8%,"Porter, Amber L",
ASTR,1030,5,Solar Systm Astr Lab,63%,17%,8%,8%,0%,0%,0%,4%,"Porter, Amber L",
ASTR,1030,6,Solar Systm Astr Lab,40%,40%,5%,15%,0%,0%,0%,0%,"Porter, Amber L",
ASTR,1030,7,Solar Systm Astr Lab,54%,31%,12%,0%,0%,0%,0%,4%,"Porter, Amber L",
ASTR,1030,8,Solar Systm Astr Lab,72%,22%,0%,0%,6%,0%,0%,0%,"Porter, Amber L",
ASTR,1030,9,Solar Systm Astr Lab,54%,21%,8%,0%,8%,0%,0%,8%,"Porter, Amber L",
ASTR,1030,10,Solar Systm Astr Lab,70%,25%,0%,0%,5%,0%,0%,0%,"Porter, Amber L",
ASTR,1040,1,Stellar Astr Lab,52%,36%,4%,4%,0%,0%,0%,4%,"Porter, Amber L",
ASTR,1040,2,Stellar Astr Lab,14%,52%,5%,0%,14%,0%,0%,14%,"Porter, Amber L",
ASTR,1040,4,Stellar Astr Lab,46%,42%,4%,4%,0%,0%,0%,4%,"Porter, Amber L",
AUD,1850,1,Intro to Audio Tech,18%,73%,9%,0%,0%,0%,0%,0%,"Altstatt, Hamilton S",
AUD,2800,1,Sound Reinforcement,9%,36%,45%,0%,9%,0%,0%,0%,"Moore, Kenneth W",
AUE,8270,5,Auto Cntrl Sys Des,64%,36%,0%,0%,0%,0%,0%,0%,"Ayalew, Beshah",
AUE,8280,1,Driveline/Powertrain,77%,23%,0%,0%,0%,0%,0%,0%,"Mears, Michael L",
AUE,8330,30,Auto Manuf Proc Devl,47%,51%,3%,0%,0%,0%,0%,0%,"Mears, Michael L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 8 of 112,
Grades Report for 201608,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AUE,8350,100,Auto Electronics,69%,31%,0%,0%,0%,0%,0%,0%,"Jia, Yunyi",
AUE,8670,1,Veh Manuf Proc I,58%,42%,0%,0%,0%,0%,0%,0%,"Mears, Michael L",
AUE,8800,2,Vehicle Project Mngt,95%,5%,0%,0%,0%,0%,0%,0%,"Kivett, Dee Ann Wood",
AUE,8810,3,Automotive Systems Overview,37%,60%,2%,0%,1%,0%,0%,0%,"Schmueser, David Wil",
AUE,8830,9,Applied Integration,63%,25%,13%,0%,0%,0%,0%,0%,"Pisu, Pierluigi",
AUE,8870,8,Meth Vehicle Testing,69%,31%,0%,0%,0%,0%,0%,0%,"Ayalew, Beshah",
AUE,8930,13,Engine Analysis,95%,5%,0%,0%,0%,0%,0%,0%,"Prucka, Robert G",
AUE,8930,14,Advanced Composites,82%,18%,0%,0%,0%,0%,0%,0%,"Pilla, Srikanth",
AUE,8930,16,Light-Weight Automotive Design,47%,47%,0%,0%,5%,0%,0%,0%,"Schmueser, David Wil",
AUE,8930,17,Hybrids,53%,47%,0%,0%,0%,0%,0%,0%,"Onori, Simona",
