Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AL,8640,400,Ethical Iss in Collegiate Athl,89%,5%,0%,0%,5%,0%,0%,0%,"Satterfield, James W",
ANTH,2010,1,Introduction to Anthropology,5%,25%,37%,15%,8%,0%,0%,10%,"Coggeshall, John M",
ANTH,2010,2,Introduction to Anthropology,37%,44%,14%,3%,1%,0%,0%,1%,"Weisensee, Katherine",
ANTH,2010,3,Introduction to Anthropology,55%,21%,7%,4%,2%,0%,0%,11%,"Rapaport, Lisa G",
ANTH,3200,1,North American Indian Cultures,30%,40%,20%,0%,0%,0%,0%,10%,"Coggeshall, John M",
ANTH,3310,1,Archaeology,24%,35%,35%,6%,0%,0%,0%,0%,"Vogel, Melissa A",
ANTH,3510,1,Biological Anthropology,35%,40%,20%,5%,0%,0%,0%,0%,"Weisensee, Katherine",
ANTH,4230,1,Women in the Developing World,61%,33%,0%,6%,0%,0%,0%,0%,"Vogel, Melissa A",
APEC,2020,1,Agric Economics,87%,11%,2%,0%,0%,0%,0%,0%,"Bolotova, Yuliya Val",
APEC,2050,1,Agric and Society,39%,38%,18%,4%,0%,0%,0%,2%,"Vassalos, Michael",
APEC,3190,1,Agribusiness Mgt,34%,30%,26%,4%,2%,0%,0%,4%,"Vassalos, Michael",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 4 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
APEC,3570,1,Nat Resource Econ,29%,19%,27%,19%,2%,0%,0%,4%,"Willis, David Brian",
APEC,4560,1,Prices,67%,33%,0%,0%,0%,0%,0%,0%,"Bolotova, Yuliya Val",
ARAB,1010,1,Elementary Arabic I,69%,19%,0%,0%,0%,0%,0%,13%,"Abou-Samra, Sulafa",
ARAB,1020,1,Elementary Arabic II,80%,20%,0%,0%,0%,0%,0%,0%,"Abou-Samra, Sulafa",
ARCH,1510,1,Arch Communication,53%,41%,0%,0%,6%,0%,0%,0%,"Hambright-Belue, Sal",
ARCH,1510,2,Arch Communication,45%,50%,0%,0%,0%,0%,0%,5%,"Silance, Robert T",
ARCH,1510,3,Arch Communication,47%,53%,0%,0%,0%,0%,0%,0%,"Satoh, Junichi",
ARCH,1510,4,Arch Communication,58%,21%,5%,5%,0%,0%,0%,11%,"Mendez, Clarissa A",
ARCH,2520,1,Arch Foundations II,45%,36%,9%,9%,0%,0%,0%,0%,"Lee, David M",
ARCH,2520,2,Arch Foundations II,50%,50%,0%,0%,0%,0%,0%,0%,"Choma, Joseph",
ARCH,2520,4,Arch Foundations II,60%,30%,10%,0%,0%,0%,0%,0%,"Mendez, Clarissa A",
ARCH,2700,1,Structures I,43%,36%,14%,7%,0%,0%,0%,0%,"Hogan, Robert John",
ARCH,2700,2,Structures I,47%,47%,0%,0%,6%,0%,0%,0%,"Hogan, Robert John",
ARCH,2710,1,Structures II,67%,24%,5%,0%,0%,0%,0%,5%,"Kleiss, Michael Carl",
ARCH,3530,1,Studio Genoa,70%,30%,0%,0%,0%,0%,0%,0%,"Powers, Matthew Neal",
