Course,Number,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ANTH,2010,3,Intro Anthropology,22%,42%,18%,5%,7%,0%,0%,5%,"Weisensee, Katherine",
ANTH,2010,4,Intro Anthropology,52%,33%,4%,2%,0%,0%,0%,8%,"Rapaport, Lisa G",
ANTH,3010,1,Cultural Anth,15%,31%,31%,19%,4%,0%,0%,0%,"Coggeshall, John M",
ANTH,3510,1,Biological Anthropology,63%,19%,0%,0%,19%,0%,0%,0%,"Rapaport, Lisa G",
ANTH,3530,1,Forensic Anthropology,42%,26%,26%,0%,0%,0%,0%,5%,"Weisensee, Katherine",
ANTH,4660,1,Evolution of Human Behav,40%,40%,10%,0%,0%,0%,0%,10%,"Rapaport, Lisa G",
APEC,2020,1,Agric Economics,32%,44%,20%,0%,1%,0%,0%,4%,"Smathers, Webb M",
APEC,2020,2,Agric Economics,19%,19%,32%,16%,3%,0%,0%,10%,"Willis, David Brian",
APEC,2050,1,Agric and Society,36%,54%,6%,0%,2%,0%,0%,2%,"Hughes, David Wheele",
APEC,2570,1,Nat Res Env Econ,22%,29%,21%,21%,3%,0%,0%,3%,"Willis, David Brian",
APEC,3020,1,Econ of Farm Mgt,26%,56%,15%,0%,0%,0%,0%,3%,"Smathers, Webb M",
APEC,3190,1,Agribusiness Mgt,10%,43%,38%,0%,5%,0%,0%,5%,"Vassalos, Michael",
APEC,3510,1,Prin of Advertising,42%,42%,9%,0%,4%,0%,0%,2%,"Smathers, Webb M",
APEC,4090,1,Commod Futures Mkt,25%,25%,33%,8%,8%,0%,0%,0%,"Hughes, David Wheele",
APEC,8060,1,Econometrics I,67%,0%,33%,0%,0%,0%,0%,0%,"Wilson, Paul Wayne",
ARAB,1010,1,Elementary Arabic I,42%,33%,17%,8%,0%,0%,0%,0%,"Abou-Samra, Sulafa",
ARAB,2010,1,Inter Arabic I,64%,18%,9%,0%,0%,0%,0%,9%,"Abou-Samra, Sulafa",
ARCH,1010,1,Intro to Arch,43%,34%,3%,0%,3%,0%,0%,17%,"Hambright-Belue, Sal",
ARCH,2040,1,Hist of Modern Arch,23%,41%,33%,2%,0%,0%,0%,2%,"Bruhns, Robert A.",
ARCH,2510,1,Arch Foundations I,25%,75%,0%,0%,0%,0%,0%,0%,"Lee, David M",
ARCH,2510,2,Arch Foundations I,23%,54%,23%,0%,0%,0%,0%,0%,"Silance, Robert T",
