Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3130,1,Analytics for Acct Dec Mak,65%,26%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,2,Analytics for Acct Dec Mak,56%,34%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,3,Analytics for Acct Dec Mak,74%,23%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,4,Analytics for Acct Dec Mak,31%,31%,17%,21%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,5,Analytics for Acct Dec Mak,7%,47%,33%,10%,3%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, January 5, 2022",,,,,,,,,,,,,,,,Page 3 of 163,
Grades Report for 202108,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3220,1,Accounting Information Sy,15%,54%,8%,12%,8%,0%,0%,4%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,2,Accounting Information Sy,17%,46%,21%,4%,0%,0%,0%,13%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,3,Accounting Information Sy,22%,44%,19%,0%,7%,0%,0%,7%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,4,Accounting Information Sy,64%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Martin, Caleb Jay",
ACCT,4040,1,Individual Taxation,85%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4040,2,Individual Taxation,65%,29%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4040,3,Individual Taxation,63%,31%,3%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4040,4,Individual Taxation,47%,41%,6%,0%,6%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4080,1,Retire & Estate Plan,33%,50%,14%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4100,1,Reporting and Mgmt Contr,74%,23%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,4100,3,Reporting and Mgmt Contr,47%,39%,11%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,4150,1,Auditing,38%,41%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,4150,2,Auditing,17%,58%,21%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8510,1,Tax Research,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,8530,1,Adv Acct Problems,59%,34%,3%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8530,2,Adv Acct Problems,70%,24%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8530,3,Adv Acct Problems,39%,29%,25%,0%,0%,0%,0%,7%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8570,1,CPA Exam Review-B,0%,0%,0%,0%,0%,98%,1%,1%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8630,1,Forensics Analysis,52%,41%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,8630,2,Forensics Analysis,45%,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,8650,1,Tax & Bus Decisions,48%,48%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Jahn, Judson R",
ACCT,8650,2,Tax & Bus Decisions,20%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, January 5, 2022",,,,,,,,,,,,,,,,Page 4 of 163,
Grades Report for 202108,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,8680,1,Advanced Accounting Anal,48%,48%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,2,Advanced Accounting Anal,65%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,3,Advanced Accounting Anal,53%,47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8720,1,Tax of Flowthroughs,44%,36%,13%,0%,3%,0%,0%,5%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
AGED,1020,1,Freshman Seminar,88%,6%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
AGED,2000,1,Agr Appl of Ed Tech,82%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Layfield, Kevin D",
AGED,2010,1,Intro to Agric Educ,40%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,3030,1,Ag Ed Mech Tech,60%,30%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Eck, Christopher J",
AGM,1010,1,Intro Ag Mech & Bus,50%,26%,12%,2%,7%,0%,0%,2%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,1010,1,Intro Ag Mech & Bus,50%,26%,12%,2%,7%,0%,0%,2%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2050,1,Prin of Fabrication,15%,51%,29%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2050,1,Prin of Fabrication,15%,51%,29%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2210,1,Land Measurements,63%,26%,6%,3%,1%,0%,0%,1%,0%,0%,0%,0%,"Teddy, Brennan",
,,,,,,,,,,,,,,,,Edward,
AGM,3010,1,Soil Water Conserv,69%,15%,10%,5%,0%,0%,0%,0%,0%,0%,0%,0%,"Sawyer, Calvin B",
AGM,4000,1,Seminar in Ag Mech & Busi,32%,58%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
